Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,CommuneDensity,CommuneCount
5.65,30.0,4.0,4.0,5.0,7.0,4.0,1,0,0.25,16.0
9.86,72.0,5.0,5.0,4.0,5.0,4.0,1,1,0.61,12.0
6.95,30.0,4.0,3.0,4.0,2.0,3.2,1,1,1.41,13.0
22.8,60.0,6.0,4.0,5.0,6.0,5.4,1,0,1.41,13.0
15.9,94.0,8.0,8.0,5.0,5.0,4.0,1,1,0.99,9.0
5.65,30.0,4.0,4.0,5.0,7.0,4.0,1,0,0.25,16.0
9.86,72.0,5.0,5.0,4.0,5.0,4.0,1,1,0.61,12.0
6.95,30.0,4.0,3.0,4.0,2.0,3.2,1,1,1.41,13.0
7.9,50.0,4.0,5.0,4.0,5.0,5.0,1,0,2.24,11.0
6.25,33.0,4.0,3.0,4.0,1.5,3.5,1,1,1.46,15.0
8.8,42.0,5.0,3.0,5.0,3.5,3.8,1,1,0.35,14.0
11.0,53.0,7.0,7.0,5.0,13.0,5.0,1,0,2.24,11.0
16.0,65.0,5.0,4.0,5.0,4.0,4.2,1,0,0.65,8.0
12.75,46.0,4.0,4.0,7.0,4.5,4.1,1,1,0.22,13.0
11.4,57.0,4.0,3.0,4.0,4.0,3.75,1,1,1.46,15.0
7.9,33.0,3.0,4.0,6.0,3.5,3.6,1,0,0.35,14.0
5.74,30.0,3.0,4.0,5.0,3.0,3.0,1,1,0.35,14.0
6.4,31.0,3.0,4.0,5.0,3.0,3.8,1,1,0.22,13.0
8.3,50.0,3.0,2.0,3.0,6.0,4.0,1,1,1.93,11.0
6.8,32.0,3.0,4.0,5.0,3.0,4.0,1,1,0.35,14.0
7.3,27.0,4.0,5.0,4.0,2.5,6.3,1,1,1.41,13.0
24.3,50.0,4.0,5.0,7.0,4.0,5.6,1,1,0.33,8.0
5.6,50.0,4.0,4.0,3.0,8.0,5.0,1,1,0.07,7.0
9.6,35.0,3.0,4.0,5.0,5.0,3.5,1,1,0.29,13.0
9.3,76.0,2.0,2.0,1.0,13.0,4.0,1,0,0.68,11.0
4.3,76.0,2.0,1.0,2.0,5.0,4.0,1,0,0.19,10.0
9.8,60.0,6.0,5.0,5.0,3.0,6.0,1,1,0.99,9.0
4.6,60.0,4.0,3.0,4.0,6.0,4.0,1,1,0.08,8.0
7.38,30.0,5.0,6.0,4.0,2.0,4.0,1,1,0.99,9.0
1.76,100.0,4.0,3.0,2.0,10.0,5.0,1,1,0.07,15.0
9.6,42.0,4.0,5.0,6.0,4.0,4.0,1,0,0.99,9.0
23.0,48.0,4.0,4.0,6.0,5.0,3.8,1,1,1.41,13.0
11.3,80.0,5.0,3.0,4.0,4.0,4.0,1,1,0.35,14.0
7.65,38.0,4.0,4.0,5.0,4.0,5.0,1,1,0.35,14.0
9.5,45.0,4.0,4.0,5.0,2.5,4.0,1,1,0.99,9.0
21.7,52.0,5.0,5.0,6.0,12.0,4.5,1,1,1.46,15.0
12.0,60.0,4.0,3.0,4.0,2.5,6.2,1,1,0.99,9.0
2.4,44.3,2.0,2.0,2.0,4.0,4.0,1,1,0.12,7.0
21.5,62.0,5.0,6.0,7.0,6.0,5.1,0,1,0.33,8.0
12.65,71.5,7.0,5.0,5.0,3.5,3.5,1,0,0.99,9.0
10.7,45.0,5.0,4.0,5.0,2.8,5.5,1,1,0.33,8.0
4.35,64.0,3.0,3.0,2.0,8.0,4.0,1,1,0.19,10.0
5.15,80.0,3.0,2.0,2.0,5.0,4.0,1,0,0.19,10.0
6.8,42.0,3.0,3.0,4.0,4.0,5.2,1,1,2.38,10.0
22.0,65.0,5.0,6.0,3.0,5.0,3.5,1,1,0.72,15.0
11.9,40.0,3.0,4.0,5.0,3.0,3.0,1,1,1.46,15.0
6.39,54.0,4.0,5.0,4.0,6.0,4.0,1,1,0.07,7.0
8.0,55.0,4.0,3.0,3.0,3.0,3.0,1,1,0.99,9.0
10.2,50.0,5.0,4.0,6.0,6.0,6.0,1,1,0.22,13.0
24.5,66.0,5.0,5.0,6.0,7.0,5.5,1,1,0.65,8.0
16.0,110.0,6.0,6.0,3.0,10.0,5.2,1,1,0.28,10.0
14.8,40.6,6.0,4.0,5.0,10.0,3.94,1,1,0.99,9.0
4.95,22.0,3.0,3.0,5.0,2.0,4.0,1,1,1.46,15.0
25.0,95.0,4.0,3.0,4.0,10.0,5.0,1,1,0.35,14.0
3.6,28.0,2.0,3.0,3.0,3.0,4.0,1,1,0.28,10.0
9.25,40.0,4.0,3.0,4.0,3.0,6.0,1,1,0.33,8.0
11.5,50.0,4.0,5.0,7.0,3.0,4.0,1,1,0.22,13.0
13.5,45.0,3.0,5.0,7.0,4.0,4.0,1,1,0.22,13.0
9.1,63.0,4.0,4.0,4.0,3.5,3.8,1,1,0.31,10.0
7.0,30.0,3.0,3.0,4.0,2.0,5.0,1,1,0.35,14.0
7.8,71.2,6.0,4.0,3.0,8.0,4.0,1,1,1.96,10.0
6.7,100.0,5.0,3.0,3.0,7.0,5.0,1,1,0.17,6.0
