Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province,Population,DistrictArea,CommuneCount,CommuneDensity,Distribute
23.5,90.0,5.0,4.0,5.0,12.0,4.5,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,0.3,8.021
3.9,42.0,3.0,2.0,2.0,2.5,3.9,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
6.0,31.0,3.0,4.0,5.0,4.0,3.2,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,0.35,12.564
6.2,35.0,3.0,4.0,5.0,4.0,4.0,yes,yes,bắc từ liêm,hà nội,340605.0,45.2,13.0,0.29,7.529
15.9,120.0,5.0,6.0,4.0,12.0,6.0,yes,no,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
8.2,80.0,5.0,5.0,4.0,7.0,5.0,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,0.67,21.196
6.8,60.0,4.0,3.0,3.0,7.0,4.0,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,0.67,21.196
11.5,77.0,2.0,2.0,1.0,6.0,4.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,0.72,23.998
4.7,125.0,3.0,3.0,2.0,6.0,5.0,yes,no,hóc môn,hồ chí minh,542243.0,109.2,12.0,0.11,4.966
11.0,64.0,4.0,5.0,4.0,8.0,4.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,0.72,23.998
16.0,90.0,4.0,3.0,3.0,8.0,4.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,0.72,23.998
4.9,68.0,2.0,3.0,2.0,12.0,4.0,yes,no,hóc môn,hồ chí minh,542243.0,109.2,12.0,0.11,4.966
14.0,65.0,4.0,5.0,3.0,6.0,4.1,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,0.72,23.998
17.95,68.0,3.0,3.0,4.0,6.0,5.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
11.5,46.0,4.0,3.0,4.0,3.0,4.3,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
15.8,56.0,6.0,4.0,5.0,6.0,4.0,yes,yes,ba đình,hà nội,221893.0,9.2,13.0,1.41,24.119
12.6,42.0,4.0,3.0,6.0,5.0,4.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
